date,"Adlikon, Konsolidierte Gemeinde","Adliswil, Konsolidierte Gemeinde","Aesch, Konsolidierte Gemeinde","Aeugst a.A., Konsolidierte Gemeinde","Affoltern a.A., Konsolidierte Gemeinde","Affoltern, Bezirk"
2008,1331,1715,1936,2192,1292,1552
2009,1787,1768,2062,2312,1452,1665
2010,1528,1701,2090,2134,1345,1632
2011,1539,1668,1985,1674,1435,1672
2012,1726,1898,2054,2069,1939,2098
2013,2088,2052,1887,2023,1883,2076
2014,1991,1905,1956,2039,1872,2062
